order_id,date,region,product_category,product_name,quantity,unit_price,discount,total_sales,customer_type,payment_method,sales_channel,sales_rep
ORD-001,2024-01-03,Jawa,Elektronik,Laptop Pro 15,2,12500000,0.05,23750000,Retail,Transfer Bank,Online,Budi Santoso
ORD-002,2024-01-05,Sumatera,Pakaian,Kemeja Formal,5,350000,0.10,1575000,Wholesale,Kartu Kredit,Offline,Siti Rahayu
ORD-003,2024-01-07,Kalimantan,Makanan,Snack Premium,10,85000,0.00,850000,Retail,Dompet Digital,Online,Ahmad Fauzi
ORD-004,2024-01-09,Sulawesi,Elektronik,Smartphone X12,1,8500000,0.08,7820000,Retail,Transfer Bank,Online,Dewi Kusuma
ORD-005,2024-01-11,Jawa,Furniture,Sofa Minimalis,1,4500000,0.05,4275000,Wholesale,Transfer Bank,Offline,Budi Santoso
ORD-006,2024-01-13,Bali,Kecantikan,Serum Wajah,3,250000,0.10,675000,Retail,Kartu Kredit,Online,Rina Permata
ORD-007,2024-01-15,Jawa,Makanan,Kopi Arabika,8,120000,0.00,960000,Retail,Dompet Digital,Online,Ahmad Fauzi
ORD-008,2024-01-17,Sumatera,Elektronik,Headphone BT,4,450000,0.05,1710000,Wholesale,Transfer Bank,Offline,Siti Rahayu
ORD-009,2024-01-19,Kalimantan,Pakaian,Jaket Outdoor,2,750000,0.10,1350000,Retail,Kartu Kredit,Online,Dewi Kusuma
ORD-010,2024-01-21,Jawa,Furniture,Meja Kerja,3,1200000,0.05,3420000,Wholesale,Transfer Bank,Offline,Budi Santoso
ORD-011,2024-01-23,Sulawesi,Kecantikan,Lipstik Matte,6,180000,0.00,1080000,Retail,Dompet Digital,Online,Rina Permata
ORD-012,2024-01-25,Bali,Makanan,Teh Herbal,12,65000,0.05,741000,Retail,Kartu Kredit,Online,Ahmad Fauzi
ORD-013,2024-01-27,Jawa,Elektronik,Smart TV 43,1,6800000,0.10,6120000,Retail,Transfer Bank,Offline,Budi Santoso
ORD-014,2024-01-29,Sumatera,Pakaian,Celana Jeans,4,320000,0.00,1280000,Wholesale,Dompet Digital,Online,Siti Rahayu
ORD-015,2024-02-01,Kalimantan,Furniture,Lemari Pakaian,1,2800000,0.08,2576000,Retail,Transfer Bank,Offline,Dewi Kusuma
ORD-016,2024-02-03,Jawa,Kecantikan,Parfum Elegan,2,550000,0.05,1045000,Retail,Kartu Kredit,Online,Rina Permata
ORD-017,2024-02-05,Sulawesi,Elektronik,Tablet 10,2,3200000,0.10,5760000,Wholesale,Transfer Bank,Offline,Budi Santoso
